4LFTX.surface                                               Best (4 layer) Lifted Index
ABSV.0.01_mb                                                Absolute Vorticity
ABSV.0.02_mb                                                Absolute Vorticity
ABSV.0.04_mb                                                Absolute Vorticity
ABSV.0.07_mb                                                Absolute Vorticity
ABSV.0.1_mb                                                 Absolute Vorticity
ABSV.0.2_mb                                                 Absolute Vorticity
ABSV.0.4_mb                                                 Absolute Vorticity
ABSV.0.7_mb                                                 Absolute Vorticity
ABSV.1000_mb                                                Absolute Vorticity
ABSV.100_mb                                                 Absolute Vorticity
ABSV.10_mb                                                  Absolute Vorticity
ABSV.150_mb                                                 Absolute Vorticity
ABSV.15_mb                                                  Absolute Vorticity
ABSV.1_mb                                                   Absolute Vorticity
ABSV.200_mb                                                 Absolute Vorticity
ABSV.20_mb                                                  Absolute Vorticity
ABSV.250_mb                                                 Absolute Vorticity
ABSV.2_mb                                                   Absolute Vorticity
ABSV.300_mb                                                 Absolute Vorticity
ABSV.30_mb                                                  Absolute Vorticity
ABSV.350_mb                                                 Absolute Vorticity
ABSV.3_mb                                                   Absolute Vorticity
ABSV.400_mb                                                 Absolute Vorticity
ABSV.40_mb                                                  Absolute Vorticity
ABSV.450_mb                                                 Absolute Vorticity
ABSV.500_mb                                                 Absolute Vorticity
ABSV.50_mb                                                  Absolute Vorticity
ABSV.550_mb                                                 Absolute Vorticity
ABSV.5_mb                                                   Absolute Vorticity
ABSV.600_mb                                                 Absolute Vorticity
ABSV.650_mb                                                 Absolute Vorticity
ABSV.700_mb                                                 Absolute Vorticity
ABSV.70_mb                                                  Absolute Vorticity
ABSV.750_mb                                                 Absolute Vorticity
ABSV.7_mb                                                   Absolute Vorticity
ABSV.800_mb                                                 Absolute Vorticity
ABSV.850_mb                                                 Absolute Vorticity
ABSV.900_mb                                                 Absolute Vorticity
ABSV.925_mb                                                 Absolute Vorticity
ABSV.950_mb                                                 Absolute Vorticity
ABSV.975_mb                                                 Absolute Vorticity
APTMP.2_m_above_ground                                      Apparent Temperature
CAPE.180-0_mb_above_ground                                  Convective Available Potential Energy
CAPE.255-0_mb_above_ground                                  Convective Available Potential Energy
CAPE.90-0_mb_above_ground                                   Convective Available Potential Energy
CAPE.surface                                                Convective Available Potential Energy
CFRZR.surface                                               Categorical Freezing Rain
CICEP.surface                                               Categorical Ice Pellets
CIN.180-0_mb_above_ground                                   Convective Inhibition
CIN.255-0_mb_above_ground                                   Convective Inhibition
CIN.90-0_mb_above_ground                                    Convective Inhibition
CIN.surface                                                 Convective Inhibition
CLMR.1000_mb                                                Cloud Mixing Ratio
CLMR.100_mb                                                 Cloud Mixing Ratio
CLMR.150_mb                                                 Cloud Mixing Ratio
CLMR.1_hybrid_level                                         Cloud Mixing Ratio
CLMR.200_mb                                                 Cloud Mixing Ratio
CLMR.250_mb                                                 Cloud Mixing Ratio
CLMR.300_mb                                                 Cloud Mixing Ratio
CLMR.350_mb                                                 Cloud Mixing Ratio
CLMR.400_mb                                                 Cloud Mixing Ratio
CLMR.450_mb                                                 Cloud Mixing Ratio
CLMR.500_mb                                                 Cloud Mixing Ratio
CLMR.50_mb                                                  Cloud Mixing Ratio
CLMR.550_mb                                                 Cloud Mixing Ratio
CLMR.600_mb                                                 Cloud Mixing Ratio
CLMR.650_mb                                                 Cloud Mixing Ratio
CLMR.700_mb                                                 Cloud Mixing Ratio
CLMR.750_mb                                                 Cloud Mixing Ratio
CLMR.800_mb                                                 Cloud Mixing Ratio
CLMR.850_mb                                                 Cloud Mixing Ratio
CLMR.900_mb                                                 Cloud Mixing Ratio
CLMR.925_mb                                                 Cloud Mixing Ratio
CLMR.950_mb                                                 Cloud Mixing Ratio
CLMR.975_mb                                                 Cloud Mixing Ratio
CNWAT.surface                                               Plant Canopy Surface Water
CPOFP.surface                                               Percent frozen precipitation
CRAIN.surface                                               Categorical Rain
CSNOW.surface                                               Categorical Snow
CWAT.entire_atmosphere_considered_as_a_single_layer         Cloud Water
DPT.2_m_above_ground                                        Dew Point Temperature
DZDT.0.01_mb                                                Vertical Velocity (Geometric)
DZDT.0.02_mb                                                Vertical Velocity (Geometric)
DZDT.0.04_mb                                                Vertical Velocity (Geometric)
DZDT.0.07_mb                                                Vertical Velocity (Geometric)
DZDT.0.1_mb                                                 Vertical Velocity (Geometric)
DZDT.0.2_mb                                                 Vertical Velocity (Geometric)
DZDT.0.4_mb                                                 Vertical Velocity (Geometric)
DZDT.0.7_mb                                                 Vertical Velocity (Geometric)
DZDT.1000_mb                                                Vertical Velocity (Geometric)
DZDT.100_mb                                                 Vertical Velocity (Geometric)
DZDT.10_mb                                                  Vertical Velocity (Geometric)
DZDT.150_mb                                                 Vertical Velocity (Geometric)
DZDT.15_mb                                                  Vertical Velocity (Geometric)
DZDT.1_mb                                                   Vertical Velocity (Geometric)
DZDT.200_mb                                                 Vertical Velocity (Geometric)
DZDT.20_mb                                                  Vertical Velocity (Geometric)
DZDT.250_mb                                                 Vertical Velocity (Geometric)
DZDT.2_mb                                                   Vertical Velocity (Geometric)
DZDT.300_mb                                                 Vertical Velocity (Geometric)
DZDT.30_mb                                                  Vertical Velocity (Geometric)
DZDT.350_mb                                                 Vertical Velocity (Geometric)
DZDT.3_mb                                                   Vertical Velocity (Geometric)
DZDT.400_mb                                                 Vertical Velocity (Geometric)
DZDT.40_mb                                                  Vertical Velocity (Geometric)
DZDT.450_mb                                                 Vertical Velocity (Geometric)
DZDT.500_mb                                                 Vertical Velocity (Geometric)
DZDT.50_mb                                                  Vertical Velocity (Geometric)
DZDT.550_mb                                                 Vertical Velocity (Geometric)
DZDT.5_mb                                                   Vertical Velocity (Geometric)
DZDT.600_mb                                                 Vertical Velocity (Geometric)
DZDT.650_mb                                                 Vertical Velocity (Geometric)
DZDT.700_mb                                                 Vertical Velocity (Geometric)
DZDT.70_mb                                                  Vertical Velocity (Geometric)
DZDT.750_mb                                                 Vertical Velocity (Geometric)
DZDT.7_mb                                                   Vertical Velocity (Geometric)
DZDT.800_mb                                                 Vertical Velocity (Geometric)
DZDT.850_mb                                                 Vertical Velocity (Geometric)
DZDT.900_mb                                                 Vertical Velocity (Geometric)
DZDT.925_mb                                                 Vertical Velocity (Geometric)
DZDT.950_mb                                                 Vertical Velocity (Geometric)
DZDT.975_mb                                                 Vertical Velocity (Geometric)
FLDCP.surface                                               Field Capacity
FRICV.surface                                               Frictional Velocity
GRLE.1000_mb                                                Graupel
GRLE.100_mb                                                 Graupel
GRLE.150_mb                                                 Graupel
GRLE.1_hybrid_level                                         Graupel
GRLE.200_mb                                                 Graupel
GRLE.250_mb                                                 Graupel
GRLE.300_mb                                                 Graupel
GRLE.350_mb                                                 Graupel
GRLE.400_mb                                                 Graupel
GRLE.450_mb                                                 Graupel
GRLE.500_mb                                                 Graupel
GRLE.50_mb                                                  Graupel
GRLE.550_mb                                                 Graupel
GRLE.600_mb                                                 Graupel
GRLE.650_mb                                                 Graupel
GRLE.700_mb                                                 Graupel
GRLE.750_mb                                                 Graupel
GRLE.800_mb                                                 Graupel
GRLE.850_mb                                                 Graupel
GRLE.900_mb                                                 Graupel
GRLE.925_mb                                                 Graupel
